product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Follow on milk (from 6 months),as-sold,,LB/UB mean 0.9-2 ppb,,0.9,2,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Goat based (from birth and growing up),as-sold,,LB/UB mean 6-6.3 ppb,,6,6.3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Growing up milk (12 months +),as-sold,,LB/UB mean 1.4-2.3 ppb,,1.4,2.3,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,iAs,fsa2016-infant-food-formula-metals-survey,Fsa 2016,sources/fsa2016-infant-food-formula-metals-survey,wiki/sources/fsa2016-infant-food-formula-metals-survey.md,Organic milk,as-sold,,mean 7 ppb,7,,,,,,,approximate,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DA1 cow-milk formula mean,as-sold,,mean 20 ppb,20,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DA2 cow-milk formula mean,as-sold,,mean 24 ppb,24,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DM1 cow-milk formula mean,as-sold,,mean 31 ppb,31,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,DM2 cow-milk formula mean,as-sold,,mean 34 ppb,34,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,ME1 cow-milk formula mean,as-sold,,mean 16 ppb,16,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,ME2 cow-milk formula mean,as-sold,,mean 21 ppb,21,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,NC1 cow-milk formula mean,as-sold,,reported <11 ppb,,,,,,,,less_than_loq,11,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,NC2 cow-milk formula mean,as-sold,,mean 12 ppb,12,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,NN1 cow-milk formula mean,as-sold,,reported <11 ppb,,,,,,,,less_than_loq,11,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,almeida2022-brazil-infant-formula-toxic-metals,Almeida 2022,sources/almeida2022-brazil-infant-formula-toxic-metals,wiki/sources/almeida2022-brazil-infant-formula-toxic-metals.md,NN2 cow-milk formula mean,as-sold,,mean 15 ppb,15,,,,,,,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-non-soy,tAs,chung2021-china-infant-formula-toxic-elements,Chung 2021,sources/chung2021-china-infant-formula-toxic-elements,wiki/sources/chung2021-china-infant-formula-toxic-elements.md,"Total cow milk-based infant formulas, stages 1-4",as-sold,93,mean 3.32; highest 7.87 ppb,3.32,,,,,,7.87,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
